time	State	Susceptible	Asymptomatic_Inf	Symptomatic_Inf	Recovered	Dead
0	MI	80000	0	0	0	0
1	MI	77613	1462	925	0	0
2	MI	77336	1616	1048	0	0
3	MI	76745	1953	1302	0	0
4	MI	76041	2378	1581	0	0
5	MI	75228	2875	1895	2	0
6	MI	74296	3445	2243	16	0
7	MI	73201	4086	2655	58	0
8	MI	71923	4833	3098	146	0
9	MI	70321	5755	3621	302	1
10	MI	68525	6799	4160	513	3
11	MI	66359	8004	4840	791	6
12	MI	64019	9261	5554	1156	10
13	MI	61440	10658	6295	1594	13
14	MI	58615	12014	7173	2179	19
15	MI	55417	13617	8086	2855	25
16	MI	51995	15306	9051	3621	27
17	MI	48494	16982	10032	4455	37
18	MI	44768	18745	11026	5414	47
19	MI	40988	20501	11905	6553	53
20	MI	37240	22192	12692	7810	66
21	MI	33560	23733	13358	9274	75
22	MI	29974	25151	13875	10909	91
23	MI	26679	26258	14219	12742	102
24	MI	23502	27168	14359	14854	117
25	MI	20673	27693	14289	17210	135
26	MI	18146	27889	14087	19731	147
27	MI	15889	27795	13682	22468	166
28	MI	13920	27433	13134	25327	186
29	MI	12246	26724	12482	28341	207
30	MI	10748	25842	11706	31475	229
31	MI	9587	24613	10776	34780	244
32	MI	8552	23273	9875	38027	273
33	MI	7708	21822	8943	41229	298
34	MI	7042	20149	7919	44575	315
35	MI	6427	18503	7013	47730	327
36	MI	5916	16856	6154	50734	340
37	MI	5468	15206	5384	53589	353
38	MI	5101	13683	4657	56193	366
39	MI	4840	12132	3984	58667	377
40	MI	4590	10646	3374	61000	390
41	MI	4387	9193	2873	63149	398
42	MI	4210	8009	2434	64943	404
43	MI	4079	6919	2051	66541	410
44	MI	3965	5982	1714	67922	417
45	MI	3865	5178	1428	69106	423
46	MI	3771	4400	1191	70212	426
47	MI	3697	3751	1018	71107	427
48	MI	3657	3165	855	71894	429
49	MI	3615	2650	720	72583	432
50	MI	3584	2222	604	73154	436
51	MI	3548	1876	523	73616	437
52	MI	3526	1576	420	74038	440
53	MI	3504	1316	349	74390	441
54	MI	3489	1095	289	74685	442
55	MI	3470	899	237	74952	442
56	MI	3458	770	195	75134	443
57	MI	3448	644	169	75295	444
58	MI	3442	543	141	75430	444
59	MI	3438	437	115	75566	444
60	MI	3433	375	104	75644	444
61	MI	3431	310	93	75722	444
62	MI	3429	253	73	75800	445
63	MI	3421	217	61	75856	445
64	MI	3417	183	55	75900	445
65	MI	3416	156	45	75938	445
66	MI	3415	119	38	75983	445
67	MI	3412	99	31	76013	445
68	MI	3411	87	28	76029	445
69	MI	3408	65	23	76059	445
70	MI	3406	54	18	76077	445
71	MI	3406	39	14	76096	445
72	MI	3405	34	7	76108	446
73	MI	3405	29	6	76114	446
74	MI	3405	26	5	76118	446
75	MI	3405	20	4	76125	446
76	MI	3405	17	3	76129	446
77	MI	3404	16	3	76131	446
78	MI	3404	15	2	76133	446
79	MI	3404	12	1	76137	446
80	MI	3403	10	1	76140	446
81	MI	3403	10	0	76141	446
82	MI	3403	10	0	76141	446
83	MI	3403	7	0	76144	446
84	MI	3403	4	0	76147	446
85	MI	3403	3	0	76148	446
86	MI	3403	3	0	76148	446
87	MI	3403	2	0	76149	446
88	MI	3403	2	0	76149	446
89	MI	3403	2	0	76149	446
90	MI	3403	2	0	76149	446
91	MI	3403	1	0	76150	446
92	MI	3403	1	0	76150	446
93	MI	3403	1	0	76150	446
94	MI	3403	0	0	76151	446
95	MI	3327	46	30	76151	446
96	MI	3310	53	40	76151	446
97	MI	3310	53	40	76151	446
98	MI	3310	53	40	76151	446
99	MI	3310	53	40	76151	446
100	MI	3310	53	40	76151	446
